chr1,	382.4,	0.982,	199898,	809,	131814,	0.703
chr2,	326.9,	0.983,	199129,	948,	138232,	0.74
chr3,	392.7,	0.98,	171662,	490,	105825,	0.783
chr4,	382.2,	0.98,	180181,	583,	123246,	0.777
chr5,	385.3,	0.976,	163635,	444,	91937,	0.79
chr6,	371.2,	0.978,	165481,	567,	99684,	0.776
chr7,	379.8,	0.977,	156158,	510,	89893,	0.769
chr8,	403.6,	0.982,	137672,	448,	84301,	0.76
chr9,	343.0,	0.978,	118167,	543,	90655,	0.648
chr10,	366.6,	0.981,	129780,	433,	87304,	0.766
chr11,	351.8,	0.971,	117556,	385,	87505,	0.761
chr12,	378.8,	0.983,	118745,	347,	74794,	0.789
chr13,	394.3,	0.982,	89622,	249,	63523,	0.798
chr14,	417.9,	0.973,	84300,	300,	52958,	0.817
chr15,	337.0,	0.975,	76212,	311,	56556,	0.763
chr16,	358.7,	0.978,	84981,	284,	51677,	0.697
chr17,	328.2,	0.972,	72301,	294,	44523,	0.755
chr18,	350.6,	0.988,	65904,	213,	49038,	0.749
chr19,	416.4,	0.983,	63532,	157,	33724,	0.797
chr20,	342.8,	0.978,	58030,	222,	33670,	0.727
chr21,	326.1,	0.973,	38594,	131,	25645,	0.726
chr22,	305.0,	0.97,	37693,	147,	24856,	0.812

Full report:
##Block_i,	Start_pos,	block_length,	num_phased_SNV,	block_quality 
336,	53619142,	427167,	414,	1.0
337,	54066151,	261234,	289,	1.0
338,	54348988,	107793,	152,	1.0
339,	54480798,	17696,	13,	1.0
340,	54518889,	119218,	131,	1.0
341,	54656609,	40376,	29,	1.0
342,	54709987,	176256,	120,	1.0
343,	54900719,	211734,	322,	1.0
344,	55124582,	111391,	140,	1.0
345,	55259031,	15395,	12,	1.0
346,	55297991,	13447,	3,	1.0
347,	55333776,	310316,	401,	1.0
348,	55659797,	37807,	10,	1.0
349,	55725597,	161297,	308,	1.0
350,	55901477,	8090,	3,	1.0
351,	55929722,	137265,	166,	1.0
352,	56140142,	10971,	4,	1.0
353,	56182123,	47405,	6,	NaN
354,	56250197,	13666,	4,	NaN
355,	56284547,	1270,	2,	1.0
356,	56307144,	11912,	2,	NaN
357,	56333167,	12414,	6,	NaN
358,	56367190,	438042,	708,	1.0
359,	56825997,	279172,	352,	0.98855
360,	57161403,	9341,	3,	NaN
361,	57253384,	9490,	3,	NaN
362,	57317160,	28327,	12,	NaN
363,	57365500,	14007,	3,	1.0
364,	57472479,	625,	2,	NaN
365,	57500151,	82570,	11,	1.0
366,	57623541,	12633,	5,	1.0
367,	57671467,	521707,	467,	1.0
368,	58208549,	14678,	3,	NaN
369,	58243066,	5975,	2,	NaN
370,	58276211,	7544,	2,	NaN
371,	58310635,	23903,	7,	NaN
372,	58358360,	0,	1,	NaN
373,	58375406,	1825,	3,	NaN
374,	58442733,	2,	2,	NaN
375,	58462954,	13118,	3,	NaN
376,	58496416,	39373,	8,	1.0
377,	58551832,	153416,	186,	1.0
378,	58722666,	22062,	6,	NaN
379,	58801880,	227,	3,	1.0
380,	58838666,	15600,	2,	1.0
381,	58875912,	4002,	3,	NaN
382,	58927524,	2320,	2,	1.0
383,	58982075,	11910,	2,	1.0
384,	59011935,	9828,	3,	1.0
385,	59041580,	29744,	5,	NaN
386,	59087138,	657,	2,	NaN
387,	59116772,	20650,	4,	1.0
388,	59153681,	33372,	41,	1.0
389,	59288607,	14636,	4,	1.0
390,	59348355,	665,	3,	NaN
391,	59380564,	299340,	308,	1.0
392,	59702623,	223633,	198,	1.0
393,	59941347,	75559,	43,	1.0
394,	60041353,	112726,	227,	1.0
395,	60181295,	30136,	16,	1.0
396,	60244586,	40760,	6,	NaN
397,	60302525,	105339,	148,	1.0
398,	60427453,	14503,	5,	NaN
399,	60477413,	163254,	280,	1.0
400,	60678824,	422578,	728,	1.0
401,	61115986,	115,	2,	1.0
402,	61169909,	7787,	2,	NaN
403,	61199393,	150,	2,	NaN
404,	61217620,	20865,	3,	NaN
405,	61277929,	500085,	501,	1.0
406,	61823057,	583299,	638,	0.98685
407,	62421342,	353561,	359,	1.0
408,	62802263,	12635,	5,	1.0
409,	62833104,	28669,	4,	NaN
410,	62877384,	56213,	13,	1.0
411,	62977852,	4215,	9,	1.0
412,	63003473,	682415,	1201,	0.99855
413,	63719364,	437037,	284,	0.97135
414,	64191291,	10814,	2,	NaN
415,	64242284,	76056,	68,	1.0
416,	64340637,	87442,	80,	1.0
417,	64447605,	68773,	60,	1.0
418,	64533177,	190264,	244,	1.0
419,	64779857,	152080,	69,	1.0
420,	64961213,	922288,	1205,	0.99712
421,	65902563,	42566,	56,	1.0
422,	65961959,	139792,	211,	0.96414
423,	66115921,	13916,	6,	1.0
424,	66142710,	26160,	14,	1.0
425,	66270951,	1075403,	1359,	0.99641
426,	67393976,	7084,	3,	0.0
427,	67443654,	110539,	125,	1.0
428,	67593868,	138645,	266,	1.0
429,	67752079,	55991,	10,	1.0
430,	67833749,	24297,	4,	NaN
431,	67871545,	32008,	5,	NaN
432,	67923946,	25719,	4,	NaN
433,	68006605,	344304,	382,	1.0
434,	68381622,	885,	3,	1.0
435,	68402674,	335800,	443,	0.98171
436,	68756906,	39507,	14,	1.0
437,	68826297,	6599,	3,	NaN
438,	68863683,	7082,	2,	NaN
439,	68895017,	10899,	2,	NaN
440,	68923922,	25315,	6,	NaN
441,	69034017,	121896,	109,	1.0
442,	69218760,	149573,	29,	1.0
443,	69412145,	47732,	36,	1.0
444,	69511129,	491684,	659,	1.0
445,	70026178,	2,	2,	NaN
446,	70040957,	43617,	5,	1.0
447,	70129459,	115719,	102,	1.0
448,	70260592,	44,	2,	NaN
449,	70284348,	13018,	2,	NaN
450,	70316726,	6519,	3,	NaN
451,	70410677,	38468,	32,	1.0
452,	70485314,	21634,	9,	1.0
453,	70568927,	11409,	3,	NaN
454,	70604669,	391967,	312,	1.0
455,	71018894,	55300,	14,	1.0
456,	71123500,	18152,	4,	1.0
457,	71160581,	18978,	7,	1.0
458,	71200157,	208085,	228,	1.0
459,	71426419,	158725,	145,	1.0
460,	71607861,	50301,	23,	1.0
461,	71681950,	194815,	228,	1.0
462,	71959630,	57755,	25,	1.0
463,	72033020,	35307,	19,	1.0
464,	72094237,	491644,	566,	1.0
465,	72606585,	130007,	86,	1.0
466,	72749768,	50893,	11,	1.0
467,	72825734,	23093,	5,	NaN
468,	72863504,	37862,	20,	1.0
469,	72922181,	40202,	65,	1.0
470,	72981289,	0,	1,	NaN
471,	73025097,	112875,	180,	1.0
472,	73164236,	53309,	9,	NaN
473,	73235927,	68769,	35,	1.0
474,	73332474,	339047,	350,	0.99322
475,	73689886,	711243,	797,	1.0
476,	74491333,	0,	1,	NaN
477,	74513706,	0,	1,	NaN
478,	74658653,	8305,	2,	NaN
479,	74686916,	23227,	7,	NaN
480,	74830805,	0,	1,	NaN
481,	74856851,	16765,	2,	NaN
482,	74966935,	6255,	2,	NaN
483,	74997588,	62,	2,	NaN
484,	75065838,	19089,	3,	NaN
485,	75114411,	4,	4,	NaN
486,	75161093,	2390,	2,	NaN
487,	75224079,	7966,	3,	NaN
488,	75256801,	31701,	243,	NaN
489,	75325554,	13416,	6,	NaN
490,	75398685,	61595,	62,	1.0
491,	75468632,	806346,	3330,	0.99165
492,	76292032,	64643,	20,	1.0
493,	76371001,	174274,	104,	1.0
494,	76575853,	63032,	40,	1.0
495,	76652501,	65674,	78,	1.0
496,	76742046,	122928,	170,	1.0
497,	76883201,	20018,	4,	NaN
498,	76916838,	180354,	238,	1.0
499,	77116883,	1944,	3,	1.0
500,	77142363,	37235,	50,	1.0
501,	77212969,	775014,	1279,	0.98689
502,	78003245,	12182,	5,	1.0
503,	78034442,	7471,	3,	1.0
504,	78063713,	788898,	872,	0.99597
505,	78869313,	1300,	2,	NaN
506,	78898987,	164417,	131,	1.0
507,	79080740,	16070,	3,	NaN
508,	79108267,	173142,	92,	0.93346
509,	79296471,	1767847,	2134,	0.99654
510,	81083731,	20863,	7,	NaN
511,	81157091,	1812233,	2181,	0.9989
512,	82989050,	10620,	2,	NaN
513,	83032911,	66481,	9,	NaN
514,	83136174,	17545,	9,	NaN
515,	83169976,	39315,	8,	1.0
516,	83232846,	119048,	23,	1.0
517,	83373385,	12262,	3,	1.0
518,	83415578,	33293,	5,	1.0
519,	83465789,	121031,	23,	0.79257
520,	83601780,	9413,	5,	1.0
521,	83631570,	6998,	3,	NaN
522,	83656569,	34238,	7,	1.0
523,	83707712,	1058241,	1157,	1.0
524,	84783259,	2290,	4,	1.0
525,	84818701,	385252,	467,	1.0
526,	85248623,	47102,	10,	1.0
527,	85314441,	30756,	10,	1.0
528,	85361645,	1883195,	2532,	0.99913
529,	87257554,	479470,	701,	1.0
530,	87813578,	31354,	8,	1.0
531,	87867846,	5232,	2,	NaN
532,	87922285,	13140,	2,	NaN
533,	87962664,	18582,	3,	NaN
534,	87995763,	16,	2,	NaN
535,	88019462,	80748,	94,	1.0
536,	88119916,	19177,	7,	1.0
537,	88225031,	29035,	6,	NaN
538,	88268847,	877539,	1307,	1.0
539,	89171003,	40587,	7,	NaN
540,	89246580,	155867,	138,	1.0
541,	89431701,	297555,	131,	0.95477
542,	89746157,	9506,	10,	1.0
543,	89770845,	7164,	2,	1.0
544,	89799134,	3607,	3,	1.0
545,	89823487,	7935,	2,	1.0
546,	89842526,	22623,	3,	1.0
547,	89883728,	6756,	3,	NaN
548,	89909115,	140880,	38,	0.84444
549,	90082867,	45936,	14,	1.0
550,	90158439,	87996,	21,	1.0
551,	90263342,	9091,	3,	1.0
552,	90294830,	209815,	295,	1.0
553,	93508203,	239990,	101,	1.0
554,	93762453,	1302260,	2083,	1.0
555,	95086794,	38929,	9,	1.0
556,	95162211,	32125,	8,	1.0
557,	95215753,	16974,	5,	NaN
558,	95326152,	11744,	4,	1.0
559,	95363590,	19777,	6,	1.0
560,	95416371,	747,	2,	NaN
561,	95449694,	16582,	3,	NaN
562,	95492564,	1450155,	1615,	1.0
563,	96966509,	25675,	4,	NaN
564,	97024662,	27807,	6,	1.0
565,	97097450,	16158,	5,	1.0
566,	97137162,	10003,	3,	1.0
567,	97166289,	1049661,	1200,	0.99473
568,	98287344,	15258,	5,	1.0
569,	98327231,	5167,	14,	1.0
570,	98351078,	12505,	3,	1.0
571,	98386803,	23150,	28,	NaN
572,	98460945,	0,	1,	NaN
573,	98486551,	565739,	1213,	1.0
574,	99125569,	29849,	5,	NaN
575,	99201047,	36000,	7,	1.0
576,	99281505,	25666,	6,	NaN
577,	99332652,	12537,	2,	NaN
578,	99375069,	760662,	540,	1.0
579,	100154161,	78243,	53,	1.0
580,	100258288,	290006,	358,	1.0
581,	100572136,	51398,	47,	1.0
582,	100642541,	1259351,	1222,	0.993
583,	101930275,	2214,	2,	NaN
584,	101958913,	4256,	3,	1.0
585,	101976469,	222237,	264,	0.99187
586,	102220368,	1324,	2,	1.0
587,	102237527,	406270,	463,	1.0
588,	102657046,	29933,	3,	NaN
589,	102710278,	3927,	2,	1.0
590,	102741449,	15982,	5,	1.0
591,	102795012,	230505,	547,	1.0
592,	103057272,	69,	2,	NaN
593,	103080407,	83442,	147,	1.0
594,	103189121,	2674,	2,	1.0
595,	103217862,	3921,	2,	NaN
596,	103243507,	9767,	2,	NaN
597,	103318366,	9049,	2,	NaN
598,	103344088,	160819,	314,	1.0
599,	103558718,	5680,	7,	NaN
600,	103586132,	38447,	5,	1.0
601,	103640307,	44903,	6,	1.0
602,	103701756,	167763,	263,	1.0
603,	103892467,	357236,	551,	1.0
604,	104265893,	682152,	1040,	1.0
605,	104963616,	345011,	403,	1.0
606,	105325387,	58869,	44,	1.0
607,	105410023,	6924,	2,	1.0
608,	105457289,	14934,	3,	1.0
609,	105501431,	16131,	3,	NaN
610,	105546451,	24965,	4,	1.0
611,	105603891,	14531,	3,	NaN
612,	105638622,	4297,	2,	NaN
613,	105665769,	68942,	103,	1.0
614,	105757111,	210849,	94,	0.94273
615,	106002728,	10220,	3,	NaN
616,	106036320,	2970,	2,	NaN
617,	106078194,	14152,	15,	1.0
618,	106113769,	3179,	2,	1.0
619,	106161020,	97973,	81,	1.0
620,	106315988,	115006,	124,	1.0
621,	106453987,	24845,	5,	1.0
622,	106493986,	6237,	2,	1.0
623,	106520424,	11649,	2,	NaN
624,	106554435,	37685,	26,	1.0
625,	106605391,	229941,	252,	1.0
626,	106915395,	81136,	38,	1.0
627,	107008305,	247061,	168,	0.97218
628,	107318321,	5914,	3,	NaN
629,	107409739,	14296,	3,	NaN
630,	107444440,	11713,	3,	NaN
631,	107482151,	15722,	5,	NaN
632,	107518391,	233138,	249,	1.0
633,	107775377,	1089551,	1062,	1.0
634,	108883251,	14563,	4,	NaN
635,	108929499,	216171,	215,	1.0
636,	109171061,	31387,	7,	1.0
637,	109271966,	564,	2,	NaN
638,	109296862,	68745,	14,	1.0
639,	109385240,	13860,	2,	1.0
640,	109419754,	9559,	3,	1.0
641,	109442278,	98809,	113,	1.0
642,	109579801,	24726,	6,	1.0
643,	109625873,	8721,	4,	NaN
644,	109648868,	3659,	4,	NaN
645,	109681690,	6426,	3,	NaN
646,	109738000,	13756,	5,	NaN
647,	109782902,	53844,	13,	0.79167
648,	109857471,	16185,	4,	1.0
649,	109899276,	59459,	13,	1.0
650,	109976161,	49999,	13,	0.33333
651,	110044467,	16608,	3,	NaN
652,	110125660,	1696,	2,	NaN
653,	110147084,	164790,	350,	1.0
654,	110327614,	27729,	5,	NaN
655,	110402417,	4866,	3,	NaN
656,	110444788,	484457,	388,	0.99474
657,	110956976,	32404,	4,	1.0
658,	111006445,	52934,	14,	0.33333
659,	111080687,	237285,	283,	0.99178
660,	111362035,	7149,	3,	NaN
661,	111416055,	12799,	2,	NaN
662,	111458435,	13,	4,	NaN
663,	111489847,	9321,	6,	NaN
664,	111538110,	15717,	26,	NaN
665,	111573842,	21266,	4,	NaN
666,	111611949,	1848,	3,	NaN
667,	111715499,	11317,	34,	1.0
668,	111788592,	2891,	2,	NaN
669,	111807662,	2561,	2,	NaN
670,	111859208,	24670,	137,	NaN
671,	111909813,	73747,	17,	1.0
672,	112016876,	169599,	286,	1.0
673,	112203252,	7445,	2,	NaN
674,	112230092,	123239,	55,	1.0
675,	112371037,	44267,	52,	1.0
676,	112455117,	159446,	186,	1.0
677,	112634390,	270395,	223,	0.97926
678,	112923728,	247760,	231,	1.0
679,	113208192,	8004,	2,	NaN
680,	113232883,	16499,	3,	NaN
681,	113282196,	9648,	4,	NaN
682,	113311067,	29811,	27,	1.0
683,	113362807,	24584,	6,	1.0
684,	113421898,	23904,	5,	1.0
685,	113480413,	20242,	4,	1.0
686,	113523855,	176915,	98,	1.0
687,	113712018,	34453,	8,	NaN
688,	113767503,	23189,	5,	NaN
689,	113802925,	12074,	2,	NaN
690,	113827822,	204,	2,	NaN
691,	113864156,	14686,	4,	NaN
692,	113896636,	14908,	3,	NaN
693,	113949082,	127669,	121,	1.0
694,	114098740,	182506,	126,	1.0
695,	114312235,	1679,	2,	NaN
696,	114388932,	36033,	12,	1.0
697,	114442801,	0,	1,	NaN
698,	114472176,	398557,	209,	1.0
699,	114886984,	365011,	348,	1.0
700,	115288678,	52468,	43,	1.0
701,	115355418,	80188,	90,	1.0
702,	115494954,	18289,	5,	NaN
703,	115537646,	4845,	4,	NaN
704,	115569481,	10496,	6,	NaN
705,	115653170,	48671,	24,	1.0
706,	115798001,	203449,	202,	1.0
707,	116014895,	15038,	4,	1.0
708,	116058106,	39773,	8,	0.46667
709,	116125373,	16780,	3,	NaN
710,	116187711,	212778,	341,	1.0
711,	116417004,	655090,	625,	1.0
712,	117123348,	4749,	2,	NaN
713,	117157762,	15253,	8,	NaN
714,	117201899,	80526,	13,	1.0
715,	117314293,	34080,	6,	1.0
716,	117374879,	73540,	78,	1.0
717,	117482138,	1152360,	1279,	0.99827
718,	118654224,	39988,	6,	1.0
719,	118755153,	186592,	169,	1.0
720,	118971947,	74586,	57,	1.0
721,	119079063,	753895,	725,	0.99269
722,	119861127,	16659,	5,	1.0
723,	119929053,	7626,	4,	NaN
724,	119967359,	19722,	5,	NaN
725,	120054397,	3298,	3,	1.0
726,	120070662,	0,	1,	NaN
727,	120083465,	5058,	3,	NaN
728,	120122811,	473175,	410,	1.0
729,	120612970,	732904,	856,	1.0
730,	121365221,	36707,	8,	NaN
731,	121435540,	22539,	4,	1.0
732,	121496911,	11538,	3,	NaN
733,	121535698,	6755,	2,	NaN
734,	121567760,	2575,	2,	NaN
735,	121615770,	0,	1,	NaN
736,	121664307,	10231,	6,	NaN
737,	121727915,	95460,	58,	1.0
738,	121850554,	122081,	226,	1.0
739,	121987932,	715409,	815,	1.0
740,	122771698,	173687,	127,	1.0
741,	122964428,	2232,	2,	1.0
742,	122983568,	4496,	3,	1.0
743,	123001494,	27379,	11,	1.0
744,	123045558,	99599,	134,	1.0
745,	123172890,	3002,	2,	NaN
746,	123197348,	8117,	3,	NaN
747,	123226597,	18877,	4,	NaN
748,	123264149,	1925,	2,	NaN
749,	123289679,	11112,	4,	1.0
750,	123325292,	90665,	42,	1.0
751,	123433348,	1420,	2,	NaN
752,	123465165,	43358,	5,	NaN
753,	123530291,	407926,	285,	1.0
754,	123961496,	201906,	188,	1.0
755,	124179670,	105407,	55,	1.0
756,	124316531,	3652,	2,	NaN
757,	124354590,	15745,	2,	NaN
758,	124405176,	582,	2,	NaN
759,	124436949,	225783,	208,	1.0
760,	124684303,	256744,	357,	1.0
761,	124962183,	47749,	12,	1.0
762,	125033343,	136109,	57,	1.0
763,	125188970,	102800,	82,	1.0
764,	125312556,	20234,	5,	NaN
765,	125404812,	45074,	8,	NaN
766,	125472157,	17192,	181,	1.0
767,	125519697,	11768,	4,	1.0
768,	125545267,	70351,	13,	1.0
769,	125643484,	651591,	1099,	0.99449
770,	126399159,	382462,	239,	1.0
771,	126795391,	281355,	390,	0.99545
772,	127153004,	16951,	6,	NaN
773,	127193427,	496491,	356,	1.0
774,	127709698,	1071573,	1375,	1.0
775,	128807520,	6835,	4,	1.0
776,	128851208,	22281,	8,	1.0
777,	128884314,	79578,	26,	0.63519
778,	128983853,	358616,	472,	1.0
779,	129377071,	8783,	3,	NaN
780,	129451519,	1455,	2,	NaN
781,	129483608,	382,	6,	NaN
782,	129494017,	46819,	11,	0.5
783,	129564999,	17438,	4,	NaN
784,	129619491,	204,	3,	NaN
785,	129635804,	224028,	818,	0.99277
786,	129873931,	20614,	6,	1.0
787,	129923662,	827146,	938,	0.99301
788,	130806001,	20967,	4,	NaN
789,	130922593,	48,	2,	NaN
790,	130937925,	17927,	3,	NaN
791,	130977005,	5609,	3,	NaN
792,	131018363,	49307,	7,	NaN
793,	131093581,	160851,	102,	1.0
794,	131280482,	8665,	2,	1.0
795,	131315430,	10519,	5,	1.0
796,	131374802,	427797,	640,	1.0
797,	131818595,	2394,	2,	1.0
798,	131862399,	45159,	7,	NaN
799,	131919327,	2,	2,	NaN
800,	131934287,	7203,	10,	NaN
801,	131989222,	458784,	549,	1.0
802,	132544620,	166675,	468,	1.0
803,	132761223,	90647,	100,	1.0
804,	132874900,	290516,	246,	1.0
805,	133216712,	252383,	340,	1.0
806,	133532163,	42713,	27,	1.0
807,	133591394,	69124,	86,	1.0
808,	133677752,	340584,	365,	1.0
809,	134066484,	0,	1,	NaN
810,	134095413,	394595,	326,	1.0
811,	134512680,	33689,	5,	NaN
812,	134624858,	122319,	215,	1.0
813,	134771731,	12427,	4,	NaN
814,	134914875,	31711,	4,	NaN
815,	134973528,	738,	2,	NaN
816,	135024955,	12207,	7,	NaN
817,	135110583,	24261,	3,	NaN
818,	135254842,	13313,	4,	NaN
819,	135297671,	7182,	2,	NaN
820,	135355384,	50150,	8,	1.0
821,	135443638,	35722,	11,	1.0
822,	135506373,	344704,	156,	1.0
823,	135872958,	942217,	834,	1.0
824,	136886992,	23276,	3,	1.0
825,	136928256,	7405,	2,	NaN
826,	136963045,	3708,	3,	NaN
827,	136993174,	54659,	9,	1.0
828,	137070494,	532,	2,	NaN
829,	137112739,	42634,	9,	1.0
830,	137186969,	14337,	3,	0.0
831,	137250900,	1535,	2,	NaN
832,	137281630,	38781,	47,	1.0
833,	137352567,	1431,	2,	NaN
834,	137367809,	2267,	5,	1.0
835,	137448636,	117759,	26,	1.0
836,	137604052,	709,	2,	NaN
837,	137623472,	3923,	3,	1.0
838,	137647557,	3333,	2,	NaN
839,	137666569,	4989,	2,	1.0
840,	137700737,	14118,	5,	1.0
841,	137726704,	44448,	48,	1.0
842,	137791971,	33132,	9,	1.0
843,	137846417,	31637,	11,	0.5
844,	137893744,	2393,	3,	NaN
845,	138005082,	32524,	11,	1.0
846,	138054811,	18992,	5,	1.0
847,	138092755,	14813,	3,	NaN
848,	138130484,	519143,	461,	1.0
849,	138668509,	374968,	329,	1.0
850,	139081431,	898,	2,	NaN
851,	139116156,	21522,	3,	NaN
852,	139153990,	12440,	3,	NaN
853,	139272914,	339332,	390,	1.0
854,	139634355,	94926,	98,	1.0
855,	139749077,	9133,	3,	NaN
856,	139835865,	18098,	3,	NaN
857,	139880866,	78838,	17,	1.0
858,	139993146,	164301,	138,	0.9629
859,	140176003,	32962,	6,	NaN
860,	140231715,	12335,	3,	1.0
861,	140392841,	0,	1,	NaN
862,	140532184,	9876,	2,	NaN
863,	140602067,	20297,	8,	1.0
864,	140699547,	8887,	3,	NaN
865,	140742351,	38470,	7,	1.0
866,	140799213,	172137,	206,	1.0
867,	140991689,	17729,	41,	1.0
868,	141031422,	637031,	634,	1.0
869,	141687982,	7969,	4,	NaN
870,	141722754,	15153,	4,	NaN
871,	141770721,	225805,	200,	1.0
872,	142019782,	4761,	2,	NaN
873,	142040075,	6623,	3,	1.0
874,	142061286,	8596,	3,	NaN
875,	142123384,	903,	2,	1.0
876,	142164735,	3596,	2,	1.0
877,	142195146,	65,	2,	1.0
878,	142210992,	10964,	2,	1.0
879,	142244592,	3446,	2,	1.0
880,	142308232,	11528,	5,	NaN
881,	142338117,	19106,	4,	NaN
882,	142387809,	35737,	5,	1.0
883,	142436122,	11498,	4,	1.0
884,	142464061,	19224,	3,	1.0
885,	142507668,	72416,	68,	1.0
886,	142598578,	14266,	5,	NaN
887,	142634292,	19220,	8,	1.0
888,	142666061,	231162,	199,	1.0
889,	142953595,	61176,	82,	1.0
890,	143030989,	588179,	576,	0.99682
891,	143674769,	11249,	7,	NaN
892,	143697516,	8,	4,	1.0
893,	143712456,	44537,	10,	0.33333
894,	143778873,	10685,	2,	NaN
895,	143819359,	157115,	113,	0.97674
896,	144019277,	16451,	2,	NaN
897,	144061942,	28949,	7,	NaN
898,	144122123,	7145,	4,	1.0
899,	144166068,	914793,	1250,	1.0
900,	145096317,	988142,	1376,	0.99832
901,	146106833,	104444,	146,	1.0
902,	146230714,	153680,	343,	1.0
903,	146392583,	21629,	45,	1.0
904,	146528165,	8874,	2,	NaN
905,	146574962,	98342,	45,	1.0
906,	146691517,	2827,	2,	NaN
907,	146736665,	579802,	444,	0.99506
908,	147334136,	35387,	26,	1.0
909,	147397223,	54494,	12,	1.0
910,	147480203,	33032,	18,	1.0
911,	147553669,	5520,	2,	1.0
912,	147582580,	60592,	79,	1.0
913,	147660440,	52539,	86,	1.0
914,	147734875,	238567,	315,	1.0
915,	148017933,	6439,	4,	1.0
916,	148048835,	50983,	14,	1.0
917,	148113373,	33058,	6,	1.0
918,	148182384,	203427,	264,	1.0
919,	148405702,	0,	1,	NaN
920,	148472161,	8467,	2,	NaN
921,	148504934,	6000,	4,	NaN
922,	148531877,	32709,	5,	NaN
923,	148591477,	388458,	258,	1.0
924,	148990269,	27125,	26,	1.0
925,	149043923,	244773,	316,	1.0
926,	149309411,	649463,	595,	1.0
927,	149977030,	105981,	72,	1.0
928,	150105226,	16361,	3,	1.0
929,	150251024,	512117,	502,	1.0
930,	150785387,	56847,	23,	1.0
931,	150861719,	23859,	6,	1.0
932,	150898465,	44542,	24,	1.0
933,	150960995,	180984,	119,	1.0
934,	151152871,	66,	2,	NaN
935,	151173151,	192291,	246,	0.98807
936,	151436107,	21986,	3,	NaN
937,	151516189,	32826,	94,	1.0
938,	151571991,	17427,	7,	1.0
939,	151615208,	3927,	2,	1.0
940,	151644317,	19880,	5,	NaN
941,	151676322,	286581,	241,	1.0
942,	151989200,	380939,	376,	0.99109
943,	152390521,	22,	3,	NaN
944,	152405363,	29061,	42,	1.0
945,	152447539,	7722,	2,	NaN
946,	152479906,	35295,	8,	1.0
947,	152545702,	12295,	3,	NaN
948,	152586165,	490250,	578,	0.99193
949,	153096783,	625,	2,	NaN
950,	153124827,	20178,	3,	NaN
951,	153159711,	4243,	2,	NaN
952,	153177306,	760271,	1154,	0.99646
953,	153952628,	265037,	219,	1.0
954,	154237161,	55357,	8,	1.0
955,	154317529,	34405,	5,	1.0
956,	154372310,	58051,	11,	1.0
957,	154449684,	2260,	3,	NaN
958,	154508366,	17233,	3,	NaN
959,	154552685,	15853,	6,	NaN
960,	154618519,	18272,	8,	1.0
961,	154658664,	56932,	94,	1.0
962,	154730670,	381,	2,	NaN
963,	154760725,	4,	2,	NaN
964,	154781945,	235989,	220,	1.0
965,	155027728,	102883,	109,	1.0
966,	155148729,	119929,	146,	1.0
967,	155283948,	37231,	14,	NaN
968,	155356223,	12075,	2,	NaN
969,	155511174,	20761,	7,	NaN
970,	155552827,	5840,	2,	NaN
971,	155574191,	18831,	4,	NaN
972,	155646775,	3944,	4,	NaN
973,	155724668,	256122,	228,	1.0
974,	156009925,	155965,	89,	0.94292
975,	156332699,	19100,	6,	1.0
976,	156369039,	19764,	7,	NaN
977,	156406281,	8547,	3,	NaN
978,	156451469,	3871,	2,	NaN
979,	156482971,	29928,	5,	NaN
980,	156531899,	8907,	4,	NaN
981,	156558272,	846,	2,	NaN
982,	156580135,	10230,	4,	NaN
983,	156609300,	18428,	4,	NaN
984,	156650222,	19132,	4,	NaN
985,	156695848,	36950,	6,	1.0
986,	156754654,	10352,	5,	1.0
987,	156786928,	525514,	462,	0.99257
988,	157336350,	19409,	4,	1.0
989,	157369116,	8683,	3,	1.0
990,	157446613,	7592,	3,	NaN
991,	157508357,	1115502,	1632,	1.0
992,	158646045,	5493,	4,	1.0
993,	158684240,	35965,	12,	1.0
994,	158760714,	15974,	3,	NaN
995,	158832181,	2557,	2,	NaN
996,	158922878,	1336,	2,	NaN
997,	159103369,	63640,	13,	1.0
998,	159211232,	77327,	11,	1.0
999,	159329329,	14708,	3,	1.0
1000,	159388148,	368303,	379,	1.0
1001,	159771737,	18109,	7,	1.0
1002,	159818194,	152024,	96,	0.94048
1003,	159992556,	85088,	37,	1.0
1004,	160092798,	319470,	229,	0.97665
1005,	160441973,	28960,	6,	NaN
1006,	160500658,	22078,	5,	NaN
1007,	160561620,	29241,	4,	NaN
1008,	160628077,	58059,	13,	NaN
1009,	160783922,	1747967,	2158,	1.0
1010,	162567837,	19594,	6,	NaN
1011,	162608482,	964905,	1429,	0.99846
1012,	163595673,	102355,	44,	1.0
1013,	163711323,	357893,	541,	1.0
1014,	164083746,	11546,	3,	NaN
1015,	164136202,	36,	2,	NaN
1016,	164158137,	7902,	3,	NaN
1017,	164188153,	96240,	98,	1.0
1018,	164301179,	56169,	14,	1.0
1019,	164568466,	34299,	8,	1.0
1020,	164638500,	28271,	8,	1.0
1021,	164680436,	768,	2,	NaN
1022,	164696120,	20648,	4,	1.0
1023,	164736087,	177968,	69,	1.0
1024,	164953927,	382381,	281,	1.0
1025,	165483947,	394,	4,	NaN
1026,	165544303,	0,	1,	NaN
1027,	165558123,	0,	1,	NaN
1028,	165579201,	611,	5,	NaN
1029,	165660308,	3027,	2,	NaN
1030,	165681669,	18324,	3,	1.0
1031,	165727636,	13566,	3,	1.0
